"Archived - Gross domestic product (GDP) at basic prices, by industry, provinces and territories, inactive (x 1,000,000) c 1 2 3 4 5 6 7"
"Frequency: Annual"
"Table: 36-10-0402-01 (formerly CANSIM 379-0030)"
"Release date: 2025-05-01"
"Geography: Province or territory"
""
""

"Prices","Chained (2017) dollars 10",,,,,,,,,
"North American Industry Classification System (NAICS) 7 8 9","All industries  [T001] 11",,,,,,,,,
"Geography","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
,"Dollars",,,,,,,,,
"Newfoundland and Labrador","30,153.1","30,619.0","31,002.6","30,128.6","31,306.8","29,848.0","30,157.4","29,659.5","28,952.6","29,645.2"
"Prince Edward Island","5,768.5","5,892.0","6,156.5","6,267.3","6,559.4","6,366.4","6,873.7","7,189.9","7,338.6","7,604.7"
"Nova Scotia","38,025.3","38,542.0","39,329.1","40,021.6","41,404.3","39,525.3","42,101.0","43,555.4","44,453.4","45,644.6"
"New Brunswick","31,418.4","31,708.5","32,456.4","32,900.5","33,347.6","32,134.5","33,903.0","34,605.9","35,207.2","35,836.7"
"Quebec","369,733.7","375,695.6","386,407.5","398,857.9","410,746.6","391,038.5","419,899.5","434,498.2","437,230.9","442,865.8"
"Ontario","727,609.6","743,976.2","764,464.8","789,531.6","807,274.5","769,942.0","817,265.5","850,461.9","865,859.6","876,619.7"
"Manitoba","62,936.3","63,878.2","66,007.1","67,372.8","68,085.8","65,309.9","66,336.7","69,231.9","70,527.8","71,271.8"
"Saskatchewan","73,866.1","73,627.8","75,302.1","76,509.8","75,969.8","72,791.3","71,076.8","76,120.6","77,895.7","80,518.8"
"Alberta","317,733.1","306,174.0","319,212.0","325,837.8","326,213.1","300,801.4","316,815.7","336,275.0","344,149.0","353,296.8"
"British Columbia","243,845.5","251,036.3","260,220.3","270,106.4","277,848.2","269,189.9","290,177.5","302,118.6","309,420.4","313,136.8"
"Yukon","2,543.4","2,726.9","2,781.0","2,857.8","2,825.4","2,875.0","3,143.9","3,378.8","3,438.7","3,326.1"
"Northwest Territories","4,367.7","4,319.4","4,476.6","4,541.0","4,347.0","3,968.3","4,105.4","4,214.3","4,199.5","4,152.5"
"Nunavut","2,490.0","2,623.6","2,969.7","3,105.8","3,346.4","3,417.9","3,648.0","3,691.1","3,831.5","4,117.3"


"Table Corrections:"
Date,Note
"2015-06-22","On June 22, 2015, provincial and territorial values for special aggregates (tabulations T002 through T016) were corrected for 2014 and subsequently revised in November, 2015 as part of the annual revision."



Footnotes:
1,"For the gross domestic product (GDP) by industry refer to table 36-10-0434-03 (formerly CANSIM 379-0031) for Canada in chained dollars, table 36-10-0401-01 (formerly CANSIM 379-0029) for Canada in current dollars, table 36-10-0400-01 (formerly CANSIM 379-0028) for provinces and territories in percentage share."
2,"For the chained dollars, the aggregates are not equal to the sum of their components."
3,"On June 22, 2015, provincial and territorial values for special aggregates (tabulations T002 through T016) were corrected for 2014 and subsequently revised in November, 2015 as part of the annual revision."
4,"The November 10, 2015 release incorporates comprehensive revisions to the provincial-territorial estimates of gross domestic product by industry for reference years 2007 to 2014. For more information on the source of these changes, consult the <a href="http://www.statcan.gc.ca/pub/13-605-x/2015003/article/14153-eng.htm">Latest Developments in the Canadian Economic Accounts in the system of macroeconomic accounts module</a>."
5,"As part of the 2015 comprehensive revision of the Canadian System of Macroeconomic Accounts (CSMA), the provincial-territorial Gross Domestic Product (GDP) by industry data in chained (2007) dollars for the period 1997 to 2006 have been released on December 15, 2015. The data for the period 1997 to 2006 have been aligned with those published on November 10, 2015 for the period 2007 to 2014. In addition, the chained (2007) dollars for the provincial and territorial GDP for the following three aggregates were revised for the period 2007-2014 vis-à-vis those released on November 10, 2015: information and communication technology-total, information and communication technology-manufacturing, and information and communication technology-services. The growth rates for these three series for the 2008-2014 period were unaffected."
6,"With November 8, 2018 release, current price and chained Fisher Gross Domestic Product (GDP) estimates by industry for the period 1997 to 2006 have been revised to improve the continuity of the GDP by industry time series and to enhance their coherence with expenditure-based GDP."
7,"With May 1, 2019 release, the provincial and territorial gross domestic product (GDP) by industry adopted the <a href="https://www.statcan.gc.ca/eng/subjects/standard/naics/2017/v3/index">North American Industry Classification System (NAICS) Canada 2017 version 3.0</a>."
8,"Since October 17, 2018, the sale of cannabis for non-medical purposes is legal in Canada. The provincial and territorial gross domestic product (GDP) by industry estimates will begin to take into account this activity and the licensed production of cannabis, as well as the unlicensed production and sale of cannabis, in the release of May 1, 2019 data. For more information, please read the article "<a href="https://www150.statcan.gc.ca/n1/pub/13-605-x/2018001/article/54969-eng.htm">Integrating the production, distribution and consumption of cannabis in the Canadian national economic accounts</a>"."
9,"With the legalization of production and sale of edible cannabis, cannabis extracts and cannabis topicals in Canada on October 17, 2019, beginning in reference year 2019, industry 3122 (Tobacco manufacturing) also includes cannabis product manufacturing."
10,"With November 8, 2023 release, the series from 1997 to 2022 now have as a reference year 2017 instead of 2012."
11,"Aggregate T001 combines the North American Industry Classification System (NAICS) codes 11-91."



"How to cite: Statistics Canada. Table 36-10-0402-01  Gross domestic product (GDP) at basic prices, by industry, provinces and territories, inactive (x 1,000,000)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3610040201